,CustomerID,FirstName,LastName,AddressLine1,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
0,11000,Jon,Yang,3761 N. 14th St,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,1966-04-08,Bachelors ,Professional,0,1,1,0,0,2,137947,89,0
1,11001,Eugene,Huang,2243 W St.,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,1965-05-14,Bachelors ,Professional,0,0,0,1,3,3,101141,117,1
2,11002,Ruben,Torres,5844 Linden Land,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,1965-08-12,Bachelors ,Professional,0,1,1,1,3,3,91945,123,0
3,11003,Christy,Zhu,1825 Village Pl.,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,1968-02-15,Bachelors ,Professional,1,0,0,1,0,0,86688,50,0
4,11004,Elizabeth,Johnson,7553 Harness Circle,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,1968-08-08,Bachelors ,Professional,1,0,1,4,5,5,92771,95,1
5,11005,Julio,Ruiz,7305 Humphrey Drive,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,1965-08-05,Bachelors ,Professional,0,0,1,1,0,0,103199,78,1
6,11006,Janet,Alvarez,2612 Berry Dr,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,1965-12-06,Bachelors ,Professional,1,0,1,1,0,0,84756,54,1
7,11007,Marco,Mehta,942 Brook Street,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,1964-05-09,Bachelors ,Professional,0,1,1,2,3,3,109759,130,1
8,11008,Rob,Verhoff,624 Peabody Road,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,1964-07-07,Bachelors ,Professional,1,0,1,3,4,4,88005,85,1
9,11009,Shannon,Carlson,3839 Northgate Road,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,1964-04-01,Bachelors ,Professional,0,0,0,1,0,0,106399,74,0
10,11010,Jacquelyn,Suarez,7800 Corrinne Court,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,1964-02-06,Bachelors ,Professional,1,0,0,1,0,0,81294,49,0
11,11011,Curtis,Lu,1224 Shoenic,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0117,1963-11-04,Bachelors ,Professional,0,1,1,4,4,4,94029,146,1
12,11012,Lauren,Walker,4785 Scott Street,Bremerton,Washington,United States,98312,717-555-0164,1968-01-18,Bachelors ,Management,1,1,1,2,0,2,99245,55,1
13,11013,Ian,Jenkins,7902 Hudson Ave.,Lebanon,Oregon,United States,97355,817-555-0185,1968-08-06,Bachelors ,Management,0,1,1,3,0,2,115859,84,0
14,11014,Sydney,Bennett,9011 Tank Drive,Redmond,Washington,United States,98052,431-555-0156,1968-05-09,Bachelors ,Management,1,0,0,3,0,3,105157,49,0
15,11015,Chloe,Young,244 Willow Pass Road,Burbank,California,United States,91502,208-555-0142,1979-02-27,Partial College,Skilled Manual,1,0,0,1,0,0,40011,39,0
16,11016,Wyatt,Hill,9666 Northridge Ct.,Imperial Beach,California,United States,91932,135-555-0171,1979-04-28,Partial College,Skilled Manual,0,1,1,1,0,0,46808,68,0
17,11019,Luke,Lal,7832 Landing Dr,Langley,British Columbia,Canada,V3A 4R2,262-555-0112,1978-03-07,High School,Skilled Manual,0,0,0,2,0,0,49455,64,1
